pico_time_s,node,esp_time_s,dist_cm
8555.056000,B,166.662960,18.350
8555.122000,A,228.449252,4.528
8555.190000,A,228.540420,5.985
8555.251000,A,228.588040,6.020
8555.329000,B,166.933120,16.293
8555.392000,A,228.725100,6.020
8555.515000,B,167.067760,16.361
8555.583000,A,228.862080,5.128
8555.656000,A,228.953440,5.128
8555.725000,A,228.999132,5.128
8555.797000,B,167.383740,15.349
8555.863000,B,167.473000,18.642
8555.932000,B,167.518360,7.683
8555.996000,B,167.607240,8.129
8556.061000,B,167.696960,17.630
8556.124000,B,167.742110,21.335
8556.190000,B,167.832240,5.900
8556.944000,A,230.442620,6.586
8557.012000,A,230.488420,5.145
8557.130000,B,168.813884,17.219
8557.195000,A,230.534140,5.728
8557.265000,B,168.858936,6.071
8557.339000,B,168.903200,6.671
8557.408000,A,230.716960,7.477
8557.478000,B,169.083780,5.968
8557.550000,A,230.853280,6.603
8557.620000,B,169.217940,6.431
8557.687000,A,230.990500,5.128
8557.754000,A,231.081040,5.128
8557.820000,B,169.439720,6.380
8557.869000,A,231.218052,5.128
8557.917000,A,231.265552,5.128
8558.028000,A,231.356580,6.603
8558.076000,B,169.706440,7.083
8558.125000,B,169.750720,15.178

